CBSA,MSA,Black Population,White Population (Non Hispanic),Hispanic Population,Asian Population,Black-White Dissimilarity ,Hispanic-NonHispanic Dissimilarity ,Asian-White Dissimilarity ,Hispanic-NonHispanic White  Dissimilarity ,Hispanic White-NonHispanic Black,H-NH Black
41540,"Salisbury, MD-DE","69,418","281,027","27,652","6,789",0.447,0.365,,0.393,0.441,0.429
41620,"Salt Lake City, UT","18,653","850,377","205,844","43,095",0.524,0.399,0.365,0.427,0.450,0.460
41660,"San Angelo, TX","4,736","65,312","46,236","1,338",,0.312,,0.326,,
41700,"San Antonio-New Braunfels, TX","149,045","815,389","1,308,911","54,574",0.491,0.405,0.456,0.447,0.469,0.452
41740,"San Diego-Chula Vista-Carlsbad, CA","154,599","1,517,153","1,095,458","376,669",0.522,0.423,0.494,0.487,0.433,0.408
41860,"San Francisco-Oakland-Berkeley, CA","335,084","1,873,832","1,014,429","1,160,920",0.610,0.401,0.464,0.497,0.461,0.418
41940,"San Jose-Sunnyvale-Santa Clara, CA","45,916","643,138","532,814","669,125",0.456,0.426,0.446,0.482,0.433,0.410
42020,"San Luis Obispo-Paso Robles, CA","4,958","194,355","62,174","9,998",,0.280,,0.291,,
42100,"Santa Cruz-Watsonville, CA","2,204","157,988","91,096","12,022",,0.516,0.385,0.531,,
42140,"Santa Fe, NM",944,"63,298","75,514","1,801",,0.398,,0.438,,
42200,"Santa Maria-Santa Barbara, CA","7,469","200,723","198,556","23,003",,0.449,0.378,0.474,,
42220,"Santa Rosa-Petaluma, CA","6,972","319,805","132,018","19,321",,0.331,0.317,0.350,,
42340,"Savannah, GA","125,107","211,283","22,389","8,279",0.484,0.306,,0.345,0.477,0.438
42540,"Scranton--Wilkes-Barre, PA","16,844","476,923","46,861","9,161",0.598,0.555,,0.575,0.511,0.505
42660,"Seattle-Tacoma-Bellevue, WA","202,368","2,424,748","364,010","476,011",0.516,0.305,0.396,0.352,0.425,0.374
42680,"Sebastian-Vero Beach, FL","13,103","112,347","17,872","1,785",0.526,0.349,,0.392,0.455,0.481
42700,"Sebring-Avon Park, FL","9,268","68,505","18,893","1,522",,0.289,,0.319,,
43300,"Sherman-Denison, TX","6,995","96,360","15,999","1,665",,0.321,,0.337,,
43340,"Shreveport-Bossier City, LA","158,379","215,152","15,939","5,001",0.564,0.365,,0.381,,0.552
43420,"Sierra Vista-Douglas, AZ","4,548","70,407","44,275","2,266",,0.374,,0.388,,
43580,"Sioux City, IA-NE-SD","3,967","105,453","25,186","3,642",,0.467,,0.507,,
43780,"South Bend-Mishawaka, IN-MI","36,829","242,025","24,299","6,141",0.531,0.394,,0.450,0.393,0.379
43900,"Spartanburg, SC","60,568","204,830","19,315","6,666",0.419,0.416,,0.457,0.478,0.445
44060,"Spokane-Spokane Valley, WA","8,159","456,534","27,927","11,265",,0.248,0.378,0.266,,
